2026-05-05 22:12:13 [StudentCodeAnalytics] INFO: Данные с API успешно получены, статус: 200
2026-05-05 22:12:13 [StudentCodeAnalytics] INFO: Запуск пре-валидации
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
2026-05-05 22:12:14 [StudentCodeAnalytics] ERROR: Ошибка типа: is_correct должен быть (<class 'bool'>, <class 'NoneType'>), а пришел <class 'int'>
